Title,Author,Height,Publisher,GenreCombined
Justice League: The Villain's Journey,Unknown Author,258,Unknown Publisher,"comic,computer_science"
"Death of Superman, The",Unknown Author,258,Unknown Publisher,"comic,computer_science"
History of the DC Universe,Unknown Author,258,Unknown Publisher,"comic,computer_science"
Batman: The Long Halloween,Unknown Author,258,Unknown Publisher,"comic,computer_science"
"Life in Letters, A","Steinbeck, John",196,Unknown Publisher,"nonfiction,classic"
"Information, The","Gleick, James",233,Unknown Publisher,"science,trivia"
"Journal of Economics, vol 106 No 3",Unknown Author,235,Unknown Publisher,"economics,objectivism"
Elements of Information Theory,"Thomas, Joy",229,Unknown Publisher,"data_science,objectivism"
Power Electronics - Rashid,"Rashid, Muhammad",235,Unknown Publisher,"computer_science,objectivism"
Power Electronics - Mohan,"Mohan, Ned",237,Unknown Publisher,"computer_science,objectivism"
Neural Networks,"Haykin, Simon",240,Unknown Publisher,"data_science,objectivism"
"Grapes of Wrath, The","Steinbeck, John",196,Unknown Publisher,"fiction,comic"
Vyakti ani Valli,"Deshpande, P L",211,Unknown Publisher,"nonfiction,legal"
Statistical Learning Theory,"Vapnik, Vladimir",228,Unknown Publisher,"data_science,objectivism"
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",180,Unknown Publisher,"history,comic"
Empire of the Mughal - Brothers at War,"Rutherford, Alex",180,Unknown Publisher,"history,comic"
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",180,Unknown Publisher,"history,comic"
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",180,Unknown Publisher,"history,comic"
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",180,Unknown Publisher,"history,comic"
Mossad,"Baz-Zohar, Michael",236,Unknown Publisher,"history,objectivism"
Jim Corbett Omnibus,"Corbett, Jim",223,Unknown Publisher,"nonfiction,legal"
20000 Leagues Under the Sea,"Verne, Jules",190,Unknown Publisher,"fiction,objectivism"
Batatyachi Chal,Deshpande P L,200,Unknown Publisher,"fiction,objectivism"
Hafasavnuk,Deshpande P L,211,Unknown Publisher,"fiction,objectivism"
Urlasurla,Deshpande P L,211,Unknown Publisher,"fiction,objectivism"
Pointers in C,"Kanetkar, Yashwant",213,Unknown Publisher,"computer_science,objectivism"
"Cathedral and the Bazaar, The","Raymond, Eric",217,Unknown Publisher,"computer_science,objectivism"
Design with OpAmps,"Franco, Sergio",240,Unknown Publisher,"computer_science,objectivism"
Think Complexity,"Downey, Allen",230,Unknown Publisher,"data_science,objectivism"
"Devil's Advocate, The","West, Morris",178,Unknown Publisher,"fiction,objectivism"
Ayn Rand Answers,"Rand, Ayn",203,Unknown Publisher,"philosophy,philosophy"
Philosophy: Who Needs It,"Rand, Ayn",171,Unknown Publisher,"philosophy,philosophy"
"World's Great Thinkers, The",Unknown Author,189,Unknown Publisher,"philosophy,poetry"
Data Analysis with Open Source Tools,"Janert, Phillip",230,Unknown Publisher,"data_science,objectivism"
Broca's Brain,"Sagan, Carl",174,Unknown Publisher,"science,poetry"
Men of Mathematics,"Bell, E T",217,Unknown Publisher,"mathematics,legal"
Oxford book of Modern Science Writing,"Dawkins, Richard",240,Unknown Publisher,"science,signal_processing"
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",224,Unknown Publisher,"philosophy,physics"
"Arthashastra, The",Kautiyla,214,Unknown Publisher,"philosophy,physics"
We the People,Palkhivala,216,Unknown Publisher,"philosophy,physics"
We the Nation,Palkhivala,216,Unknown Publisher,"philosophy,physics"
"Courtroom Genius, The",Sorabjee,217,Unknown Publisher,"nonfiction,classic"
Dongri to Dubai,"Zaidi, Hussain",216,Unknown Publisher,"nonfiction,legal"
"History of England, Foundation","Ackroyd, Peter",197,Unknown Publisher,"history,comic"
City of Djinns,"Dalrymple, William",198,Unknown Publisher,"history,comic"
India's Legal System,Nariman,177,Unknown Publisher,"nonfiction,legal"
More Tears to Cry,"Sassoon, Jean",235,Unknown Publisher,"fiction,objectivism"
"Ropemaker, The","Dickinson, Peter",196,Unknown Publisher,"fiction,objectivism"
Angels & Demons,"Brown, Dan",170,Unknown Publisher,"fiction,objectivism"
"Judge, The",Unknown Author,170,Unknown Publisher,"fiction,objectivism"
"Attorney, The",Unknown Author,170,Unknown Publisher,"fiction,objectivism"
"Prince, The",Machiavelli,173,Unknown Publisher,"philosophy,philosophy"
Eyeless in Gaza,"Huxley, Aldous",180,Unknown Publisher,"fiction,comic"
Tales of Beedle the Bard,"Rowling, J K",184,Unknown Publisher,"fiction,objectivism"
Girl with the Dragon Tattoo,"Larsson, Steig",179,Unknown Publisher,"fiction,objectivism"
Girl who kicked the Hornet's Nest,"Larsson, Steig",179,Unknown Publisher,"fiction,objectivism"
Girl who played with Fire,"Larsson, Steig",179,Unknown Publisher,"fiction,objectivism"
Batman Handbook,Unknown Author,270,Unknown Publisher,"comic,computer_science"
Murphy's Law,Unknown Author,178,Unknown Publisher,"nonfiction,classic"
Structure and Randomness,"Tao, Terence",252,Unknown Publisher,"mathematics,legal"
Image Processing with MATLAB,"Eddins, Steve",241,Unknown Publisher,"signal_processing,trivia"
Animal Farm,"Orwell, George",180,Unknown Publisher,"fiction,objectivism"
"Idiot, The","Dostoevsky, Fyodor",197,Unknown Publisher,"fiction,comic"
"Christmas Carol, A","Dickens, Charles",196,Unknown Publisher,"fiction,comic"
